Product-1,Product-2,Basket
Tropical Fruit,Hamburger Meat,Tropical Fruit + Hamburger Meat
Tropical Fruit,Hygiene Articles,Tropical Fruit + Hygiene Articles
Tropical Fruit,Whipped/Sour Cream,Tropical Fruit + Whipped/Sour Cream
Tropical Fruit,Pork,Tropical Fruit + Pork
Tropical Fruit,Artif. Sweetener,Tropical Fruit + Artif. Sweetener
Tropical Fruit,Berries,Tropical Fruit + Berries
Tropical Fruit,Grapes,Tropical Fruit + Grapes
Tropical Fruit,Dessert,Tropical Fruit + Dessert
Tropical Fruit,Zwieback,Tropical Fruit + Zwieback
Tropical Fruit,Domestic Eggs,Tropical Fruit + Domestic Eggs
Tropical Fruit,Spread Cheese,Tropical Fruit + Spread Cheese
Tropical Fruit,Misc. Beverages,Tropical Fruit + Misc. Beverages
Tropical Fruit,Hard Cheese,Tropical Fruit + Hard Cheese
Tropical Fruit,Cat Food,Tropical Fruit + Cat Food
Tropical Fruit,Ham,Tropical Fruit + Ham
Tropical Fruit,Turkey,Tropical Fruit + Turkey
Tropical Fruit,Semi-Finished Bread,Tropical Fruit + Semi-Finished Bread
Tropical Fruit,Baking Powder,Tropical Fruit + Baking Powder
Tropical Fruit,Margarine,Tropical Fruit + Margarine
Tropical Fruit,Pickled Vegetables,Tropical Fruit + Pickled Vegetables
Tropical Fruit,Chocolate Marshmallow,Tropical Fruit + Chocolate Marshmallow
Tropical Fruit,Oil,Tropical Fruit + Oil
Tropical Fruit,Chewing Gum,Tropical Fruit + Chewing Gum
Tropical Fruit,Ice Cream,Tropical Fruit + Ice Cream
Tropical Fruit,Canned Fish,Tropical Fruit + Canned Fish
Tropical Fruit,Frozen Vegetables,Tropical Fruit + Frozen Vegetables
Tropical Fruit,Seasonal Products,Tropical Fruit + Seasonal Products
Tropical Fruit,Curd Cheese,Tropical Fruit + Curd Cheese
Tropical Fruit,Red/Blush Wine,Tropical Fruit + Red/Blush Wine
Tropical Fruit,Frozen Potato Products,Tropical Fruit + Frozen Potato Products
Tropical Fruit,Specialty Fat,Tropical Fruit + Specialty Fat
Tropical Fruit,Specialty Chocolate,Tropical Fruit + Specialty Chocolate
Tropical Fruit,Candles,Tropical Fruit + Candles
Tropical Fruit,Flower (Seeds),Tropical Fruit + Flower (Seeds)
Tropical Fruit,Sparkling Wine,Tropical Fruit + Sparkling Wine
Tropical Fruit,Salt,Tropical Fruit + Salt
Tropical Fruit,Frozen Meals,Tropical Fruit + Frozen Meals
Tropical Fruit,Canned Vegetables,Tropical Fruit + Canned Vegetables
Tropical Fruit,Onions,Tropical Fruit + Onions
Tropical Fruit,Herbs,Tropical Fruit + Herbs
Tropical Fruit,White Wine,Tropical Fruit + White Wine
Tropical Fruit,Brandy,Tropical Fruit + Brandy
Tropical Fruit,Photo/Film,Tropical Fruit + Photo/Film
Tropical Fruit,Sliced Cheese,Tropical Fruit + Sliced Cheese
Tropical Fruit,Pasta,Tropical Fruit + Pasta
Tropical Fruit,Softener,Tropical Fruit + Softener
Tropical Fruit,Cling Film/Bags,Tropical Fruit + Cling Film/Bags
Tropical Fruit,Male Cosmetics,Tropical Fruit + Male Cosmetics
Tropical Fruit,Fish,Tropical Fruit + Fish
Tropical Fruit,Canned Fruit,Tropical Fruit + Canned Fruit
Tropical Fruit,Instant Food Products,Tropical Fruit + Instant Food Products
Tropical Fruit,Soft Cheese,Tropical Fruit + Soft Cheese
Tropical Fruit,Honey,Tropical Fruit + Honey
Tropical Fruit,Dental Care,Tropical Fruit + Dental Care
Tropical Fruit,Popcorn,Tropical Fruit + Popcorn
Tropical Fruit,Cake Bar,Tropical Fruit + Cake Bar
Tropical Fruit,Snack Products,Tropical Fruit + Snack Products
Tropical Fruit,Flower Soil/Fertilizer,Tropical Fruit + Flower Soil/Fertilizer
Tropical Fruit,Specialty Cheese,Tropical Fruit + Specialty Cheese
Tropical Fruit,Finished Products,Tropical Fruit + Finished Products
Tropical Fruit,Cocoa Drinks,Tropical Fruit + Cocoa Drinks
Tropical Fruit,Dog Food,Tropical Fruit + Dog Food
Tropical Fruit,Prosecco,Tropical Fruit + Prosecco
Tropical Fruit,Frozen Fish,Tropical Fruit + Frozen Fish
Tropical Fruit,Make Up Remover,Tropical Fruit + Make Up Remover
Tropical Fruit,Female Sanitary Products,Tropical Fruit + Female Sanitary Products
Tropical Fruit,Cleaner,Tropical Fruit + Cleaner
Tropical Fruit,Cookware,Tropical Fruit + Cookware
Tropical Fruit,Dish Cleaner,Tropical Fruit + Dish Cleaner
Tropical Fruit,Meat,Tropical Fruit + Meat
Tropical Fruit,Tea,Tropical Fruit + Tea
Tropical Fruit,Mustard,Tropical Fruit + Mustard
Tropical Fruit,House Keeping Products,Tropical Fruit + House Keeping Products
Tropical Fruit,Skin Care,Tropical Fruit + Skin Care
Tropical Fruit,Potato Products,Tropical Fruit + Potato Products
Tropical Fruit,Liquor,Tropical Fruit + Liquor
Tropical Fruit,Pet Care,Tropical Fruit + Pet Care
Tropical Fruit,Soups,Tropical Fruit + Soups
Tropical Fruit,Rum,Tropical Fruit + Rum
Tropical Fruit,Salad Dressing,Tropical Fruit + Salad Dressing
Tropical Fruit,Sauces,Tropical Fruit + Sauces
Tropical Fruit,Vinegar,Tropical Fruit + Vinegar
Tropical Fruit,Soap,Tropical Fruit + Soap
Tropical Fruit,Hair Spray,Tropical Fruit + Hair Spray
Tropical Fruit,Instant Coffee,Tropical Fruit + Instant Coffee
Tropical Fruit,Roll Products ,Tropical Fruit + Roll Products 
Tropical Fruit,Mayonnaise,Tropical Fruit + Mayonnaise
Tropical Fruit,Rubbing Alcohol,Tropical Fruit + Rubbing Alcohol
Tropical Fruit,Syrup,Tropical Fruit + Syrup
Tropical Fruit,Liver Loaf,Tropical Fruit + Liver Loaf
Tropical Fruit,Baby Cosmetics,Tropical Fruit + Baby Cosmetics
Tropical Fruit,Organic Products,Tropical Fruit + Organic Products
Tropical Fruit,Nut Snack,Tropical Fruit + Nut Snack
Tropical Fruit,Kitchen Towels,Tropical Fruit + Kitchen Towels
Tropical Fruit,Frozen Chicken,Tropical Fruit + Frozen Chicken
Tropical Fruit,Light Bulbs,Tropical Fruit + Light Bulbs
Tropical Fruit,Ketchup,Tropical Fruit + Ketchup
Tropical Fruit,Jam,Tropical Fruit + Jam
Tropical Fruit,Ready Soups,Tropical Fruit + Ready Soups
Tropical Fruit,Decalcifier,Tropical Fruit + Decalcifier
Tropical Fruit,Nuts/Prunes,Tropical Fruit + Nuts/Prunes
Tropical Fruit,Liqueur,Tropical Fruit + Liqueur
Tropical Fruit,Organic Sausage,Tropical Fruit + Organic Sausage
Tropical Fruit,Cream,Tropical Fruit + Cream
Tropical Fruit,Toilet Cleaner,Tropical Fruit + Toilet Cleaner
Tropical Fruit,Specialty Vegetables,Tropical Fruit + Specialty Vegetables
Tropical Fruit,Baby Food,Tropical Fruit + Baby Food
Tropical Fruit,Pudding Powder,Tropical Fruit + Pudding Powder
Tropical Fruit,Tidbits,Tropical Fruit + Tidbits
Tropical Fruit,Whisky,Tropical Fruit + Whisky
Tropical Fruit,Frozen Fruits,Tropical Fruit + Frozen Fruits
Tropical Fruit,Bags,Tropical Fruit + Bags
Tropical Fruit,Cooking Chocolate,Tropical Fruit + Cooking Chocolate
Tropical Fruit,Sound Storage Medium,Tropical Fruit + Sound Storage Medium
Tropical Fruit,Kitchen Utensil,Tropical Fruit + Kitchen Utensil
Tropical Fruit,Preservation Products,Tropical Fruit + Preservation Products
Coffee,Yogurt,Coffee + Yogurt
Coffee,Whole Milk,Coffee + Whole Milk
Coffee,Pip Fruit,Coffee + Pip Fruit
Coffee,Meat Spreads,Coffee + Meat Spreads
Coffee,Cream Cheese ,Coffee + Cream Cheese 
Coffee,Other Vegetables,Coffee + Other Vegetables
Coffee,Condensed Milk,Coffee + Condensed Milk
Coffee,Long Life Bakery Product,Coffee + Long Life Bakery Product
Coffee,Abrasive Cleaner,Coffee + Abrasive Cleaner
Coffee,Butter,Coffee + Butter
Coffee,Rice,Coffee + Rice
Coffee,Rolls/Buns,Coffee + Rolls/Buns
Coffee,Uht-Milk,Coffee + Uht-Milk
Coffee,Liquor (Appetizer),Coffee + Liquor (Appetizer)
Coffee,Bottled Beer,Coffee + Bottled Beer
Coffee,Pot Plants,Coffee + Pot Plants
Coffee,Cereals,Coffee + Cereals
Coffee,Bottled Water,Coffee + Bottled Water
Coffee,Chocolate,Coffee + Chocolate
Coffee,White Bread,Coffee + White Bread
Coffee,Dishes,Coffee + Dishes
Coffee,Flour,Coffee + Flour
Coffee,Curd,Coffee + Curd
Coffee,Citrus Fruit,Coffee + Citrus Fruit
Coffee,Beef,Coffee + Beef
Coffee,Frankfurter,Coffee + Frankfurter
Coffee,Soda,Coffee + Soda
Coffee,Chicken,Coffee + Chicken
Coffee,Fruit/Vegetable Juice,Coffee + Fruit/Vegetable Juice
Coffee,Sugar,Coffee + Sugar
Coffee,Newspapers,Coffee + Newspapers
Coffee,Packaged Fruit/Vegetables,Coffee + Packaged Fruit/Vegetables
Coffee,Specialty Bar,Coffee + Specialty Bar
Coffee,Butter Milk,Coffee + Butter Milk
Coffee,Pastry,Coffee + Pastry
Coffee,Processed Cheese,Coffee + Processed Cheese
Coffee,Detergent,Coffee + Detergent
Coffee,Sweet Spreads,Coffee + Sweet Spreads
Coffee,Frozen Dessert,Coffee + Frozen Dessert
Coffee,Candy,Coffee + Candy
Coffee,Bathroom Cleaner,Coffee + Bathroom Cleaner
Coffee,Waffles,Coffee + Waffles
Coffee,Salty Snack,Coffee + Salty Snack
Coffee,Root Vegetables,Coffee + Root Vegetables
Coffee,Canned Beer,Coffee + Canned Beer
Coffee,Sausage,Coffee + Sausage
Coffee,Brown Bread,Coffee + Brown Bread
Coffee,Shopping Bags,Coffee + Shopping Bags
Coffee,Beverages,Coffee + Beverages
Coffee,Spices,Coffee + Spices
Coffee,Napkins,Coffee + Napkins
Coffee,Hamburger Meat,Coffee + Hamburger Meat
Coffee,Hygiene Articles,Coffee + Hygiene Articles
Coffee,Whipped/Sour Cream,Coffee + Whipped/Sour Cream
Coffee,Pork,Coffee + Pork
Coffee,Artif. Sweetener,Coffee + Artif. Sweetener
Coffee,Berries,Coffee + Berries
Coffee,Grapes,Coffee + Grapes
Coffee,Dessert,Coffee + Dessert
Coffee,Zwieback,Coffee + Zwieback
Coffee,Domestic Eggs,Coffee + Domestic Eggs
Coffee,Spread Cheese,Coffee + Spread Cheese
Coffee,Misc. Beverages,Coffee + Misc. Beverages
Coffee,Hard Cheese,Coffee + Hard Cheese
Coffee,Cat Food,Coffee + Cat Food
Coffee,Ham,Coffee + Ham
Coffee,Turkey,Coffee + Turkey
Coffee,Semi-Finished Bread,Coffee + Semi-Finished Bread
Coffee,Baking Powder,Coffee + Baking Powder
Coffee,Margarine,Coffee + Margarine
Coffee,Pickled Vegetables,Coffee + Pickled Vegetables
Coffee,Chocolate Marshmallow,Coffee + Chocolate Marshmallow
Coffee,Oil,Coffee + Oil
Coffee,Chewing Gum,Coffee + Chewing Gum
Coffee,Ice Cream,Coffee + Ice Cream
Coffee,Canned Fish,Coffee + Canned Fish
Coffee,Frozen Vegetables,Coffee + Frozen Vegetables
Coffee,Seasonal Products,Coffee + Seasonal Products
Coffee,Curd Cheese,Coffee + Curd Cheese
Coffee,Red/Blush Wine,Coffee + Red/Blush Wine
Coffee,Frozen Potato Products,Coffee + Frozen Potato Products
Coffee,Specialty Fat,Coffee + Specialty Fat
Coffee,Specialty Chocolate,Coffee + Specialty Chocolate
Coffee,Candles,Coffee + Candles
Coffee,Flower (Seeds),Coffee + Flower (Seeds)
Coffee,Sparkling Wine,Coffee + Sparkling Wine
Coffee,Salt,Coffee + Salt
Coffee,Frozen Meals,Coffee + Frozen Meals
Coffee,Canned Vegetables,Coffee + Canned Vegetables
Coffee,Onions,Coffee + Onions
Coffee,Herbs,Coffee + Herbs
Coffee,White Wine,Coffee + White Wine
Coffee,Brandy,Coffee + Brandy
Coffee,Photo/Film,Coffee + Photo/Film
Coffee,Sliced Cheese,Coffee + Sliced Cheese
Coffee,Pasta,Coffee + Pasta
Coffee,Softener,Coffee + Softener
Coffee,Cling Film/Bags,Coffee + Cling Film/Bags
Coffee,Male Cosmetics,Coffee + Male Cosmetics
Coffee,Fish,Coffee + Fish
Coffee,Canned Fruit,Coffee + Canned Fruit
Coffee,Instant Food Products,Coffee + Instant Food Products
Coffee,Soft Cheese,Coffee + Soft Cheese
Coffee,Honey,Coffee + Honey
Coffee,Dental Care,Coffee + Dental Care
Coffee,Popcorn,Coffee + Popcorn
Coffee,Cake Bar,Coffee + Cake Bar
Coffee,Snack Products,Coffee + Snack Products
Coffee,Flower Soil/Fertilizer,Coffee + Flower Soil/Fertilizer
Coffee,Specialty Cheese,Coffee + Specialty Cheese
Coffee,Finished Products,Coffee + Finished Products
Coffee,Cocoa Drinks,Coffee + Cocoa Drinks
Coffee,Dog Food,Coffee + Dog Food
Coffee,Prosecco,Coffee + Prosecco
Coffee,Frozen Fish,Coffee + Frozen Fish
Coffee,Make Up Remover,Coffee + Make Up Remover
Coffee,Female Sanitary Products,Coffee + Female Sanitary Products
Coffee,Cleaner,Coffee + Cleaner
Coffee,Cookware,Coffee + Cookware
Coffee,Dish Cleaner,Coffee + Dish Cleaner
Coffee,Meat,Coffee + Meat
Coffee,Tea,Coffee + Tea
Coffee,Mustard,Coffee + Mustard
Coffee,House Keeping Products,Coffee + House Keeping Products
Coffee,Skin Care,Coffee + Skin Care
Coffee,Potato Products,Coffee + Potato Products
Coffee,Liquor,Coffee + Liquor
Coffee,Pet Care,Coffee + Pet Care
Coffee,Soups,Coffee + Soups
Coffee,Rum,Coffee + Rum
Coffee,Salad Dressing,Coffee + Salad Dressing
Coffee,Sauces,Coffee + Sauces
Coffee,Vinegar,Coffee + Vinegar
Coffee,Soap,Coffee + Soap
Coffee,Hair Spray,Coffee + Hair Spray
Coffee,Instant Coffee,Coffee + Instant Coffee
Coffee,Roll Products ,Coffee + Roll Products 
Coffee,Mayonnaise,Coffee + Mayonnaise
Coffee,Rubbing Alcohol,Coffee + Rubbing Alcohol
Coffee,Syrup,Coffee + Syrup
Coffee,Liver Loaf,Coffee + Liver Loaf
Coffee,Baby Cosmetics,Coffee + Baby Cosmetics
Coffee,Organic Products,Coffee + Organic Products
Coffee,Nut Snack,Coffee + Nut Snack
Coffee,Kitchen Towels,Coffee + Kitchen Towels
Coffee,Frozen Chicken,Coffee + Frozen Chicken
Coffee,Light Bulbs,Coffee + Light Bulbs
Coffee,Ketchup,Coffee + Ketchup
Coffee,Jam,Coffee + Jam
Coffee,Ready Soups,Coffee + Ready Soups
Coffee,Decalcifier,Coffee + Decalcifier
Coffee,Nuts/Prunes,Coffee + Nuts/Prunes
Coffee,Liqueur,Coffee + Liqueur
Coffee,Organic Sausage,Coffee + Organic Sausage
Coffee,Cream,Coffee + Cream
Coffee,Toilet Cleaner,Coffee + Toilet Cleaner
Coffee,Specialty Vegetables,Coffee + Specialty Vegetables
Coffee,Baby Food,Coffee + Baby Food
Coffee,Pudding Powder,Coffee + Pudding Powder
Coffee,Tidbits,Coffee + Tidbits
Coffee,Whisky,Coffee + Whisky
Coffee,Frozen Fruits,Coffee + Frozen Fruits
Coffee,Bags,Coffee + Bags
Coffee,Cooking Chocolate,Coffee + Cooking Chocolate
Coffee,Sound Storage Medium,Coffee + Sound Storage Medium
Coffee,Kitchen Utensil,Coffee + Kitchen Utensil
Coffee,Preservation Products,Coffee + Preservation Products
Yogurt,Whole Milk,Yogurt + Whole Milk
Yogurt,Pip Fruit,Yogurt + Pip Fruit
Yogurt,Meat Spreads,Yogurt + Meat Spreads
Yogurt,Cream Cheese ,Yogurt + Cream Cheese 
Yogurt,Other Vegetables,Yogurt + Other Vegetables
Yogurt,Condensed Milk,Yogurt + Condensed Milk
Yogurt,Long Life Bakery Product,Yogurt + Long Life Bakery Product
Yogurt,Abrasive Cleaner,Yogurt + Abrasive Cleaner
Yogurt,Butter,Yogurt + Butter
Yogurt,Rice,Yogurt + Rice
Yogurt,Rolls/Buns,Yogurt + Rolls/Buns
Yogurt,Uht-Milk,Yogurt + Uht-Milk
Yogurt,Liquor (Appetizer),Yogurt + Liquor (Appetizer)
Yogurt,Bottled Beer,Yogurt + Bottled Beer
Yogurt,Pot Plants,Yogurt + Pot Plants
Yogurt,Cereals,Yogurt + Cereals
Yogurt,Bottled Water,Yogurt + Bottled Water
Yogurt,Chocolate,Yogurt + Chocolate
Yogurt,White Bread,Yogurt + White Bread
Yogurt,Dishes,Yogurt + Dishes
Yogurt,Flour,Yogurt + Flour
Yogurt,Curd,Yogurt + Curd
Yogurt,Citrus Fruit,Yogurt + Citrus Fruit
Yogurt,Beef,Yogurt + Beef
Yogurt,Frankfurter,Yogurt + Frankfurter
Yogurt,Soda,Yogurt + Soda
Yogurt,Chicken,Yogurt + Chicken
Yogurt,Fruit/Vegetable Juice,Yogurt + Fruit/Vegetable Juice
Yogurt,Sugar,Yogurt + Sugar
Yogurt,Newspapers,Yogurt + Newspapers
Yogurt,Packaged Fruit/Vegetables,Yogurt + Packaged Fruit/Vegetables
Yogurt,Specialty Bar,Yogurt + Specialty Bar
Yogurt,Butter Milk,Yogurt + Butter Milk
Yogurt,Pastry,Yogurt + Pastry
Yogurt,Processed Cheese,Yogurt + Processed Cheese
Yogurt,Detergent,Yogurt + Detergent
Yogurt,Sweet Spreads,Yogurt + Sweet Spreads
Yogurt,Frozen Dessert,Yogurt + Frozen Dessert
Yogurt,Candy,Yogurt + Candy
Yogurt,Bathroom Cleaner,Yogurt + Bathroom Cleaner
Yogurt,Waffles,Yogurt + Waffles
Yogurt,Salty Snack,Yogurt + Salty Snack
Yogurt,Root Vegetables,Yogurt + Root Vegetables
Yogurt,Canned Beer,Yogurt + Canned Beer
Yogurt,Sausage,Yogurt + Sausage
Yogurt,Brown Bread,Yogurt + Brown Bread
Yogurt,Shopping Bags,Yogurt + Shopping Bags
Yogurt,Beverages,Yogurt + Beverages
Yogurt,Spices,Yogurt + Spices
Yogurt,Napkins,Yogurt + Napkins
Yogurt,Hamburger Meat,Yogurt + Hamburger Meat
Yogurt,Hygiene Articles,Yogurt + Hygiene Articles
Yogurt,Whipped/Sour Cream,Yogurt + Whipped/Sour Cream
Yogurt,Pork,Yogurt + Pork
Yogurt,Artif. Sweetener,Yogurt + Artif. Sweetener
Yogurt,Berries,Yogurt + Berries
Yogurt,Grapes,Yogurt + Grapes
Yogurt,Dessert,Yogurt + Dessert
Yogurt,Zwieback,Yogurt + Zwieback
Yogurt,Domestic Eggs,Yogurt + Domestic Eggs
Yogurt,Spread Cheese,Yogurt + Spread Cheese
Yogurt,Misc. Beverages,Yogurt + Misc. Beverages
Yogurt,Hard Cheese,Yogurt + Hard Cheese
Yogurt,Cat Food,Yogurt + Cat Food
Yogurt,Ham,Yogurt + Ham
Yogurt,Turkey,Yogurt + Turkey
Yogurt,Semi-Finished Bread,Yogurt + Semi-Finished Bread
Yogurt,Baking Powder,Yogurt + Baking Powder
Yogurt,Margarine,Yogurt + Margarine
Yogurt,Pickled Vegetables,Yogurt + Pickled Vegetables
Yogurt,Chocolate Marshmallow,Yogurt + Chocolate Marshmallow
Yogurt,Oil,Yogurt + Oil
Yogurt,Chewing Gum,Yogurt + Chewing Gum
Yogurt,Ice Cream,Yogurt + Ice Cream
Yogurt,Canned Fish,Yogurt + Canned Fish
Yogurt,Frozen Vegetables,Yogurt + Frozen Vegetables
Yogurt,Seasonal Products,Yogurt + Seasonal Products
Yogurt,Curd Cheese,Yogurt + Curd Cheese
Yogurt,Red/Blush Wine,Yogurt + Red/Blush Wine
Yogurt,Frozen Potato Products,Yogurt + Frozen Potato Products
Yogurt,Specialty Fat,Yogurt + Specialty Fat
Yogurt,Specialty Chocolate,Yogurt + Specialty Chocolate
Yogurt,Candles,Yogurt + Candles
Yogurt,Flower (Seeds),Yogurt + Flower (Seeds)
Yogurt,Sparkling Wine,Yogurt + Sparkling Wine
Yogurt,Salt,Yogurt + Salt
Yogurt,Frozen Meals,Yogurt + Frozen Meals
Yogurt,Canned Vegetables,Yogurt + Canned Vegetables
Yogurt,Onions,Yogurt + Onions
Yogurt,Herbs,Yogurt + Herbs
Yogurt,White Wine,Yogurt + White Wine
Yogurt,Brandy,Yogurt + Brandy
Yogurt,Photo/Film,Yogurt + Photo/Film
Yogurt,Sliced Cheese,Yogurt + Sliced Cheese
Yogurt,Pasta,Yogurt + Pasta
Yogurt,Softener,Yogurt + Softener
Yogurt,Cling Film/Bags,Yogurt + Cling Film/Bags
Yogurt,Male Cosmetics,Yogurt + Male Cosmetics
Yogurt,Fish,Yogurt + Fish
Yogurt,Canned Fruit,Yogurt + Canned Fruit
Yogurt,Instant Food Products,Yogurt + Instant Food Products
Yogurt,Soft Cheese,Yogurt + Soft Cheese
Yogurt,Honey,Yogurt + Honey
Yogurt,Dental Care,Yogurt + Dental Care
Yogurt,Popcorn,Yogurt + Popcorn
Yogurt,Cake Bar,Yogurt + Cake Bar
Yogurt,Snack Products,Yogurt + Snack Products
Yogurt,Flower Soil/Fertilizer,Yogurt + Flower Soil/Fertilizer
Yogurt,Specialty Cheese,Yogurt + Specialty Cheese
Yogurt,Finished Products,Yogurt + Finished Products
Yogurt,Cocoa Drinks,Yogurt + Cocoa Drinks
Yogurt,Dog Food,Yogurt + Dog Food
Yogurt,Prosecco,Yogurt + Prosecco
Yogurt,Frozen Fish,Yogurt + Frozen Fish
Yogurt,Make Up Remover,Yogurt + Make Up Remover
Yogurt,Female Sanitary Products,Yogurt + Female Sanitary Products
Yogurt,Cleaner,Yogurt + Cleaner
Yogurt,Cookware,Yogurt + Cookware
Yogurt,Dish Cleaner,Yogurt + Dish Cleaner
Yogurt,Meat,Yogurt + Meat
Yogurt,Tea,Yogurt + Tea
Yogurt,Mustard,Yogurt + Mustard
Yogurt,House Keeping Products,Yogurt + House Keeping Products
Yogurt,Skin Care,Yogurt + Skin Care
Yogurt,Potato Products,Yogurt + Potato Products
Yogurt,Liquor,Yogurt + Liquor
Yogurt,Pet Care,Yogurt + Pet Care
Yogurt,Soups,Yogurt + Soups
Yogurt,Rum,Yogurt + Rum
Yogurt,Salad Dressing,Yogurt + Salad Dressing
Yogurt,Sauces,Yogurt + Sauces
Yogurt,Vinegar,Yogurt + Vinegar
Yogurt,Soap,Yogurt + Soap
Yogurt,Hair Spray,Yogurt + Hair Spray
Yogurt,Instant Coffee,Yogurt + Instant Coffee
Yogurt,Roll Products ,Yogurt + Roll Products 
Yogurt,Mayonnaise,Yogurt + Mayonnaise
Yogurt,Rubbing Alcohol,Yogurt + Rubbing Alcohol
Yogurt,Syrup,Yogurt + Syrup
Yogurt,Liver Loaf,Yogurt + Liver Loaf
Yogurt,Baby Cosmetics,Yogurt + Baby Cosmetics
Yogurt,Organic Products,Yogurt + Organic Products
Yogurt,Nut Snack,Yogurt + Nut Snack
Yogurt,Kitchen Towels,Yogurt + Kitchen Towels
Yogurt,Frozen Chicken,Yogurt + Frozen Chicken
Yogurt,Light Bulbs,Yogurt + Light Bulbs
Yogurt,Ketchup,Yogurt + Ketchup
Yogurt,Jam,Yogurt + Jam
Yogurt,Ready Soups,Yogurt + Ready Soups
Yogurt,Decalcifier,Yogurt + Decalcifier
Yogurt,Nuts/Prunes,Yogurt + Nuts/Prunes
Yogurt,Liqueur,Yogurt + Liqueur
Yogurt,Organic Sausage,Yogurt + Organic Sausage
Yogurt,Cream,Yogurt + Cream
Yogurt,Toilet Cleaner,Yogurt + Toilet Cleaner
Yogurt,Specialty Vegetables,Yogurt + Specialty Vegetables
Yogurt,Baby Food,Yogurt + Baby Food
Yogurt,Pudding Powder,Yogurt + Pudding Powder
Yogurt,Tidbits,Yogurt + Tidbits
Yogurt,Whisky,Yogurt + Whisky
Yogurt,Frozen Fruits,Yogurt + Frozen Fruits
Yogurt,Bags,Yogurt + Bags
Yogurt,Cooking Chocolate,Yogurt + Cooking Chocolate
Yogurt,Sound Storage Medium,Yogurt + Sound Storage Medium
Yogurt,Kitchen Utensil,Yogurt + Kitchen Utensil
Yogurt,Preservation Products,Yogurt + Preservation Products
Whole Milk,Pip Fruit,Whole Milk + Pip Fruit
Whole Milk,Meat Spreads,Whole Milk + Meat Spreads
Whole Milk,Cream Cheese ,Whole Milk + Cream Cheese 
Whole Milk,Other Vegetables,Whole Milk + Other Vegetables
