TransactionID,Products
TRAN10080,Oil
TRAN10080,Frozen Vegetables
TRAN10080,Margarine
TRAN10080,Rolls/Buns
TRAN10080,Whole Milk
TRAN10080,Fruit/Vegetable Juice
TRAN10081,Onions
TRAN10081,Hard Cheese
TRAN10081,Frozen Vegetables
TRAN10081,Root Vegetables
TRAN10082,Salt
TRAN10082,Condensed Milk
TRAN10082,Candles
TRAN10082,Herbs
TRAN10082,White Wine
TRAN10082,Oil
TRAN10082,Frozen Vegetables
TRAN10083,Bottled Water
TRAN10084,Sausage
TRAN10084,Yogurt
TRAN10084,Rolls/Buns
TRAN10084,Root Vegetables
TRAN10084,Detergent
TRAN10084,Brandy
TRAN10084,Onions
TRAN10085,Coffee
TRAN10085,Newspapers
TRAN10086,Other Vegetables
TRAN10086,Whipped/Sour Cream
TRAN10086,Pork
TRAN10087,Berries
TRAN10087,Yogurt
TRAN10088,Soda
TRAN10089,Berries
TRAN10090,Fruit/Vegetable Juice
TRAN10090,Salty Snack
TRAN10090,Candles
TRAN10091,Butter Milk
TRAN10091,Cream Cheese 
TRAN10091,Citrus Fruit
TRAN10091,Yogurt
TRAN10092,Citrus Fruit
TRAN10092,Whipped/Sour Cream
TRAN10092,Rice
TRAN10092,Hamburger Meat
TRAN10092,Coffee
TRAN10092,Pork
TRAN10092,Onions
TRAN10092,Berries
TRAN10092,Chocolate
TRAN10093,Detergent
TRAN10094,Grapes
TRAN10094,Photo/Film
TRAN10095,Fruit/Vegetable Juice
TRAN10095,Rolls/Buns
TRAN10095,Canned Beer
TRAN10095,Waffles
TRAN10095,Red/Blush Wine
TRAN10095,Sausage
TRAN10095,Shopping Bags
TRAN10095,Brown Bread
TRAN10095,Sliced Cheese
TRAN10096,Hamburger Meat
TRAN10096,Chicken
TRAN10096,Butter
TRAN10096,Pasta
TRAN10096,Tropical Fruit
TRAN10096,Detergent
TRAN10096,Other Vegetables
TRAN10096,Root Vegetables
TRAN10096,Oil
TRAN10096,Citrus Fruit
TRAN10097,Whole Milk
TRAN10097,Brown Bread
TRAN10097,Yogurt
TRAN10098,Tropical Fruit
TRAN10098,Citrus Fruit
TRAN10099,Soda
TRAN10099,Misc. Beverages
TRAN10100,Bathroom Cleaner
TRAN10100,Grapes
TRAN10100,Rolls/Buns
TRAN10100,Pastry
TRAN10100,Whole Milk
TRAN10100,Specialty Bar
TRAN10100,Pork
TRAN10100,Sausage
TRAN10100,Soda
TRAN10101,Bottled Water
TRAN10101,Rolls/Buns
TRAN10101,Frankfurter
TRAN10102,Photo/Film
TRAN10102,Fruit/Vegetable Juice
TRAN10102,Shopping Bags
TRAN10102,Whole Milk
TRAN10102,Sausage
TRAN10102,Coffee
TRAN10102,Yogurt
TRAN10102,Softener
TRAN10102,Napkins
TRAN10102,Bottled Beer
TRAN10103,Soda
TRAN10104,Rolls/Buns
TRAN10104,Fruit/Vegetable Juice
TRAN10105,Beef
TRAN10105,Detergent
TRAN10105,Citrus Fruit
TRAN10105,Root Vegetables
TRAN10105,Berries
TRAN10105,Brown Bread
TRAN10106,Cling Film/Bags
TRAN10106,Whole Milk
TRAN10106,Candy
TRAN10106,Soda
TRAN10106,Waffles
TRAN10106,Whipped/Sour Cream
TRAN10106,Rolls/Buns
TRAN10107,Processed Cheese
TRAN10108,Pip Fruit
TRAN10108,Tropical Fruit
TRAN10109,Sausage
TRAN10109,Chewing Gum
TRAN10109,Other Vegetables
TRAN10109,Frankfurter
TRAN10109,Pickled Vegetables
TRAN10109,Dishes
TRAN10109,Bottled Beer
TRAN10109,Root Vegetables
TRAN10109,Rolls/Buns
TRAN10109,Oil
TRAN10110,Packaged Fruit/Vegetables
TRAN10110,Bottled Water
TRAN10111,Red/Blush Wine
TRAN10111,Bottled Water
TRAN10111,Margarine
TRAN10111,Rolls/Buns
TRAN10111,Frozen Vegetables
TRAN10111,Dessert
TRAN10111,Whole Milk
TRAN10111,Newspapers
TRAN10112,Berries
TRAN10112,Whipped/Sour Cream
TRAN10113,Citrus Fruit
TRAN10113,Berries
TRAN10113,Uht-Milk
TRAN10113,Processed Cheese
TRAN10114,Tropical Fruit
TRAN10114,Yogurt
TRAN10114,Whole Milk
TRAN10115,Whole Milk
TRAN10115,Rolls/Buns
TRAN10115,Frozen Vegetables
TRAN10115,Hamburger Meat
TRAN10115,Bottled Beer
TRAN10115,Sparkling Wine
TRAN10116,Other Vegetables
TRAN10116,Frozen Vegetables
TRAN10116,Domestic Eggs
TRAN10116,Soda
TRAN10116,Dishes
TRAN10116,Whole Milk
TRAN10116,Hamburger Meat
TRAN10117,Whole Milk
TRAN10117,Soda
TRAN10117,Cream Cheese 
TRAN10118,Margarine
TRAN10118,Other Vegetables
TRAN10118,Male Cosmetics
TRAN10118,Long Life Bakery Product
TRAN10118,Pastry
TRAN10118,Coffee
TRAN10118,Shopping Bags
TRAN10118,Fish
TRAN10119,Long Life Bakery Product
TRAN10119,Waffles
TRAN10119,Sausage
TRAN10119,Frankfurter
TRAN10120,Semi-Finished Bread
TRAN10120,Dessert
TRAN10120,Canned Beer
TRAN10120,Packaged Fruit/Vegetables
TRAN10121,Soda
TRAN10121,Pastry
TRAN10122,Red/Blush Wine
TRAN10122,Other Vegetables
TRAN10123,Misc. Beverages
TRAN10124,Domestic Eggs
TRAN10124,Sausage
TRAN10124,Rice
TRAN10124,Tropical Fruit
TRAN10124,Whole Milk
TRAN10124,Cream Cheese 
TRAN10124,Sugar
TRAN10124,Fruit/Vegetable Juice
TRAN10124,Frankfurter
TRAN10124,Misc. Beverages
TRAN10124,Pip Fruit
TRAN10124,Hygiene Articles
TRAN10124,Hard Cheese
TRAN10124,Citrus Fruit
TRAN10124,Canned Fruit
TRAN10125,Sparkling Wine
TRAN10126,Specialty Bar
TRAN10127,Butter Milk
TRAN10127,Rolls/Buns
TRAN10127,Sausage
TRAN10128,Curd Cheese
TRAN10129,Dessert
TRAN10129,Frankfurter
TRAN10130,Whole Milk
TRAN10130,Brown Bread
TRAN10130,Yogurt
TRAN10130,Shopping Bags
TRAN10130,Beverages
TRAN10131,Newspapers
TRAN10132,Berries
TRAN10132,Soda
TRAN10133,Flour
TRAN10133,Liquor (Appetizer)
TRAN10133,Curd
TRAN10134,Tropical Fruit
TRAN10134,Other Vegetables
TRAN10134,Coffee
TRAN10135,Soda
TRAN10136,Instant Food Products
TRAN10136,Rolls/Buns
TRAN10137,Canned Beer
TRAN10138,Canned Beer
TRAN10139,Sausage
TRAN10139,Whole Milk
TRAN10139,Margarine
TRAN10139,Frankfurter
TRAN10139,Rolls/Buns
TRAN10140,Other Vegetables
TRAN10140,Canned Beer
TRAN10140,Misc. Beverages
TRAN10141,Frozen Vegetables
TRAN10141,Whole Milk
TRAN10142,Whole Milk
TRAN10143,White Bread
TRAN10143,Oil
TRAN10143,Newspapers
TRAN10143,Citrus Fruit
TRAN10143,Butter
TRAN10143,Margarine
TRAN10143,Cream Cheese 
TRAN10144,Rolls/Buns
TRAN10144,Frankfurter
TRAN10145,Rolls/Buns
TRAN10145,Sugar
TRAN10145,Soft Cheese
TRAN10145,Frozen Vegetables
TRAN10145,Pip Fruit
TRAN10145,Other Vegetables
TRAN10145,Ham
TRAN10145,Baking Powder
TRAN10145,Frankfurter
TRAN10145,Whole Milk
TRAN10146,Detergent
TRAN10146,Soda
TRAN10146,Yogurt
TRAN10146,Honey
TRAN10146,Butter Milk
TRAN10147,Onions
TRAN10147,Hamburger Meat
TRAN10147,Citrus Fruit
TRAN10147,Dental Care
TRAN10147,Rolls/Buns
TRAN10147,Bottled Water
TRAN10148,Popcorn
TRAN10148,Pasta
TRAN10149,Whole Milk
TRAN10149,Other Vegetables
TRAN10149,Cake Bar
TRAN10149,Shopping Bags
TRAN10149,Chocolate
TRAN10149,Meat Spreads
TRAN10150,Pork
TRAN10150,Candles
TRAN10150,White Bread
TRAN10150,Citrus Fruit
TRAN10150,Dishes
TRAN10150,Dessert
TRAN10150,Sausage
TRAN10151,Rolls/Buns
TRAN10152,Grapes
TRAN10152,Curd
TRAN10152,Dessert
TRAN10152,Napkins
TRAN10152,Other Vegetables
TRAN10152,Yogurt
TRAN10153,Yogurt
TRAN10153,Fruit/Vegetable Juice
TRAN10153,Bottled Beer
TRAN10153,Beverages
TRAN10153,Root Vegetables
TRAN10153,Whole Milk
TRAN10153,Frozen Vegetables
TRAN10153,Soft Cheese
TRAN10153,Other Vegetables
TRAN10154,Coffee
TRAN10154,Shopping Bags
TRAN10155,Popcorn
TRAN10156,Whole Milk
TRAN10156,Bottled Water
TRAN10156,Rolls/Buns
TRAN10156,Soda
TRAN10156,Sugar
TRAN10157,Packaged Fruit/Vegetables
TRAN10157,Other Vegetables
TRAN10157,Tropical Fruit
TRAN10157,Snack Products
TRAN10157,Whole Milk
TRAN10158,Beef
TRAN10158,Cling Film/Bags
TRAN10158,Herbs
TRAN10158,Flower Soil/Fertilizer
TRAN10158,Flour
TRAN10159,Dessert
TRAN10159,Rolls/Buns
TRAN10159,Whole Milk
TRAN10159,Butter
TRAN10160,Soda
TRAN10160,Frankfurter
TRAN10160,Chewing Gum
TRAN10161,Tropical Fruit
TRAN10161,Specialty Cheese
TRAN10161,Bottled Water
TRAN10162,Canned Beer
TRAN10163,Frozen Vegetables
TRAN10163,Finished Products
TRAN10163,Other Vegetables
TRAN10163,Bottled Beer
TRAN10164,Soda
TRAN10164,Beverages
TRAN10165,Whole Milk
TRAN10165,Root Vegetables
TRAN10165,Hamburger Meat
TRAN10166,Pastry
TRAN10166,Whole Milk
TRAN10166,Long Life Bakery Product
TRAN10167,Finished Products
TRAN10167,White Wine
TRAN10167,Shopping Bags
TRAN10168,Other Vegetables
TRAN10169,Other Vegetables
TRAN10169,Brown Bread
TRAN10169,Fruit/Vegetable Juice
TRAN10169,Whole Milk
TRAN10169,Ham
TRAN10169,White Bread
TRAN10169,Tropical Fruit
TRAN10169,Bottled Beer
TRAN10170,Other Vegetables
TRAN10171,Curd
TRAN10171,Popcorn
TRAN10171,Butter Milk
TRAN10171,Cocoa Drinks
TRAN10171,Salty Snack
TRAN10172,Bottled Beer
TRAN10173,Waffles
TRAN10173,Chocolate
TRAN10173,Dessert
TRAN10173,Cake Bar
TRAN10173,Curd
TRAN10173,Soda
TRAN10173,Salty Snack
TRAN10173,Shopping Bags
TRAN10174,Cream Cheese 
TRAN10174,Whole Milk
TRAN10174,Dog Food
TRAN10174,Cereals
TRAN10175,Whole Milk
TRAN10175,Salt
TRAN10176,Dessert
TRAN10176,Ice Cream
TRAN10177,Sausage
TRAN10177,Coffee
TRAN10177,Soft Cheese
TRAN10178,Waffles
TRAN10178,Dishes
TRAN10178,Bottled Water
TRAN10178,Shopping Bags
TRAN10178,Other Vegetables
TRAN10179,Whole Milk
TRAN10179,Rolls/Buns
TRAN10179,Ham
TRAN10180,Ice Cream
TRAN10180,Other Vegetables
TRAN10181,Other Vegetables
TRAN10181,Bottled Water
TRAN10182,Prosecco
TRAN10182,Bottled Beer
TRAN10182,Soda
TRAN10182,White Wine
TRAN10183,Herbs
TRAN10183,Candy
TRAN10184,Frankfurter
TRAN10184,Frozen Fish
TRAN10184,Pip Fruit
TRAN10184,Domestic Eggs
TRAN10184,Other Vegetables
TRAN10184,Yogurt
TRAN10184,Whole Milk
TRAN10184,Sugar
TRAN10184,Cereals
TRAN10184,Fruit/Vegetable Juice
TRAN10184,Frozen Meals
TRAN10184,Cream Cheese 
TRAN10184,Waffles
TRAN10184,White Bread
TRAN10184,Bottled Beer
TRAN10184,Ham
TRAN10184,Curd
TRAN10184,Sliced Cheese
TRAN10184,Tropical Fruit
TRAN10184,Soft Cheese
TRAN10184,Root Vegetables
TRAN10184,Whipped/Sour Cream
TRAN10184,Butter
TRAN10185,Canned Beer
TRAN10185,Rolls/Buns
TRAN10186,Cake Bar
TRAN10186,Curd
TRAN10186,Zwieback
TRAN10186,Cream Cheese 
TRAN10186,Specialty Bar
TRAN10186,Shopping Bags
TRAN10186,Semi-Finished Bread
TRAN10187,Spread Cheese
TRAN10187,Frankfurter
TRAN10187,Whole Milk
TRAN10187,Tropical Fruit
TRAN10187,Shopping Bags
TRAN10187,Margarine
TRAN10188,Other Vegetables
TRAN10189,Dog Food
TRAN10190,Specialty Bar
TRAN10191,Salt
TRAN10191,Shopping Bags
TRAN10191,Liquor (Appetizer)
TRAN10191,Curd
TRAN10191,Detergent
TRAN10192,Rolls/Buns
TRAN10192,Frankfurter
TRAN10193,Soda
TRAN10194,Brown Bread
TRAN10194,Root Vegetables
TRAN10194,Spread Cheese
TRAN10194,Beef
TRAN10194,Whole Milk
TRAN10194,Berries
TRAN10194,Dessert
TRAN10195,Canned Beer
TRAN10196,Pork
TRAN10196,Pip Fruit
TRAN10196,Beef
TRAN10196,Herbs
TRAN10196,Spices
TRAN10197,Citrus Fruit
TRAN10197,Sugar
TRAN10197,Frankfurter
TRAN10197,Margarine
TRAN10197,Uht-Milk
TRAN10198,Bottled Beer
TRAN10198,Liquor (Appetizer)
TRAN10198,Sausage
TRAN10199,Canned Beer
TRAN10200,Specialty Chocolate
TRAN10201,Rolls/Buns
TRAN10201,Curd
TRAN10202,Canned Beer
TRAN10203,Bottled Water
TRAN10203,Newspapers
TRAN10203,Whole Milk
TRAN10204,Rolls/Buns
TRAN10204,Chewing Gum
TRAN10205,Root Vegetables
TRAN10205,Whole Milk
TRAN10205,Dishes
TRAN10205,Other Vegetables
TRAN10205,Pork
TRAN10206,Citrus Fruit
TRAN10206,Pastry
TRAN10207,Pot Plants
TRAN10208,Pastry
TRAN10208,Rolls/Buns
TRAN10208,Soda
TRAN10209,Butter
TRAN10209,Yogurt
TRAN10209,Hygiene Articles
TRAN10209,Bottled Water
TRAN10209,Make Up Remover
TRAN10209,Soda
TRAN10210,Condensed Milk
TRAN10210,Sugar
TRAN10210,Coffee
TRAN10210,Shopping Bags
TRAN10211,Other Vegetables
TRAN10211,Sausage
TRAN10211,Soda
TRAN10211,Shopping Bags
TRAN10211,Yogurt
TRAN10212,Beverages
TRAN10212,Uht-Milk
TRAN10212,Soda
TRAN10212,Whole Milk
TRAN10213,Margarine
TRAN10213,Pork
TRAN10213,Beef
TRAN10213,Rolls/Buns
TRAN10213,Whole Milk
TRAN10213,Sausage
TRAN10214,Beverages
TRAN10215,Specialty Bar
TRAN10215,Beverages
TRAN10216,Bottled Water
TRAN10216,Fruit/Vegetable Juice
TRAN10217,Newspapers
TRAN10218,Female Sanitary Products
TRAN10218,Cleaner
TRAN10219,Newspapers
TRAN10219,Soda
TRAN10219,Sausage
TRAN10219,Shopping Bags
TRAN10220,Newspapers
TRAN10221,Beverages
TRAN10221,Citrus Fruit
TRAN10221,Sausage
TRAN10221,Hard Cheese
TRAN10221,Beef
TRAN10221,Rolls/Buns
TRAN10221,Butter Milk
TRAN10221,Other Vegetables
TRAN10221,Cookware
TRAN10221,Whipped/Sour Cream
TRAN10221,Dish Cleaner
TRAN10221,Whole Milk
TRAN10222,Misc. Beverages
TRAN10222,Newspapers
TRAN10223,White Wine
TRAN10224,Canned Beer
TRAN10224,Sausage
TRAN10224,Rolls/Buns
TRAN10224,Shopping Bags
TRAN10224,Soda
TRAN10224,Sliced Cheese
TRAN10225,Bottled Beer
TRAN10225,Cake Bar
TRAN10225,Meat
TRAN10225,Curd
TRAN10226,Oil
TRAN10226,Tropical Fruit
TRAN10226,Baking Powder
TRAN10226,Onions
TRAN10226,Cling Film/Bags
TRAN10226,Tea
TRAN10226,Meat
TRAN10226,Frankfurter
TRAN10227,Ice Cream
TRAN10227,Rolls/Buns
TRAN10227,Canned Beer
TRAN10228,Canned Beer
TRAN10229,Other Vegetables
TRAN10229,Shopping Bags
TRAN10229,Berries
TRAN10229,Tropical Fruit
TRAN10229,Root Vegetables
TRAN10229,Bottled Water
TRAN10230,Rolls/Buns
TRAN10230,Curd
TRAN10230,Brown Bread
TRAN10230,Beverages
TRAN10230,Meat
TRAN10230,Dessert
TRAN10230,Other Vegetables
TRAN10230,Cream Cheese 
TRAN10230,Tea
TRAN10230,Citrus Fruit
TRAN10230,Bottled Water
TRAN10230,Butter Milk
TRAN10231,Whole Milk
TRAN10231,Bottled Water
TRAN10231,Mustard
TRAN10232,Sausage
TRAN10232,Sliced Cheese
TRAN10232,Beverages
TRAN10232,Flower (Seeds)
TRAN10232,Beef
TRAN10232,Rolls/Buns
TRAN10232,Spices
TRAN10232,House Keeping Products
TRAN10233,Salty Snack
TRAN10233,Rolls/Buns
TRAN10233,Long Life Bakery Product
TRAN10233,Root Vegetables
TRAN10233,Sausage
TRAN10233,Butter
TRAN10233,Curd
TRAN10233,Frankfurter
TRAN10233,Sliced Cheese
TRAN10234,Other Vegetables
TRAN10234,Rolls/Buns
TRAN10234,Meat
TRAN10234,Butter
TRAN10235,Beverages
TRAN10235,Pickled Vegetables
TRAN10235,Instant Food Products
TRAN10235,Root Vegetables
TRAN10235,Detergent
TRAN10236,Other Vegetables
TRAN10236,Whole Milk
TRAN10236,Herbs
TRAN10236,Sliced Cheese
TRAN10236,Root Vegetables
TRAN10236,Rolls/Buns
TRAN10237,Semi-Finished Bread
TRAN10237,Margarine
TRAN10237,Whole Milk
TRAN10237,Whipped/Sour Cream
TRAN10238,Dessert
TRAN10238,Curd
TRAN10238,Skin Care
TRAN10238,Rolls/Buns
TRAN10238,Citrus Fruit
TRAN10238,Salt
TRAN10238,Canned Fish
TRAN10238,Frozen Dessert
TRAN10238,Hygiene Articles
TRAN10238,Canned Vegetables
TRAN10238,Cereals
TRAN10238,Yogurt
TRAN10238,Sugar
TRAN10238,Whipped/Sour Cream
TRAN10238,Napkins
TRAN10238,Whole Milk
TRAN10239,Margarine
TRAN10239,Sugar
TRAN10239,Citrus Fruit
TRAN10239,Curd
TRAN10239,Pastry
TRAN10239,Candy
TRAN10239,Newspapers
TRAN10240,Whole Milk
TRAN10240,Red/Blush Wine
TRAN10240,Bottled Beer
TRAN10240,Other Vegetables
TRAN10240,Misc. Beverages
TRAN10240,Napkins
TRAN10240,Bottled Water
TRAN10240,Soda
TRAN10241,Citrus Fruit
TRAN10241,Rolls/Buns
TRAN10241,Whole Milk
TRAN10242,Hygiene Articles
TRAN10242,Oil
TRAN10242,Sausage
TRAN10242,Napkins
TRAN10243,Butter
TRAN10243,Frankfurter
TRAN10243,Frozen Dessert
TRAN10243,Potato Products
TRAN10243,Root Vegetables
TRAN10243,Hamburger Meat
TRAN10243,Whole Milk
TRAN10243,Grapes
TRAN10243,Bottled Water
TRAN10243,Bottled Beer
TRAN10243,Beef
TRAN10244,Bottled Water
TRAN10244,Hard Cheese
TRAN10244,Newspapers
TRAN10244,Rolls/Buns
TRAN10245,Soda
TRAN10245,Rolls/Buns
TRAN10245,Cream Cheese 
TRAN10245,Chocolate
TRAN10246,Dishes
TRAN10246,Beef
TRAN10246,Turkey
TRAN10246,Frozen Vegetables
TRAN10246,Photo/Film
TRAN10247,Shopping Bags
TRAN10247,Soda
TRAN10247,Whipped/Sour Cream
TRAN10247,Rolls/Buns
TRAN10247,Other Vegetables
TRAN10247,Pork
TRAN10248,Beverages
TRAN10248,Whole Milk
TRAN10249,Soda
TRAN10249,Rolls/Buns
TRAN10250,Hygiene Articles
TRAN10250,Sausage
TRAN10250,Sliced Cheese
TRAN10250,Yogurt
TRAN10250,Pip Fruit
TRAN10250,Bottled Water
TRAN10250,Curd
TRAN10250,Whole Milk
